mongo,https://github.com/docker-library/mongo.git
photon,https://github.com/vmware/photon-docker-image.git
groovy,https://github.com/groovy/docker-groovy.git
postfixadmin,https://github.com/postfixadmin/docker.git
node,https://github.com/nodejs/docker-node.git
clefos,https://github.com/nealef/clefos.git
sonarqube,https://github.com/SonarSource/docker-sonarqube.git
silverpeas,https://github.com/Silverpeas/docker-silverpeas-prod.git
friendica,https://github.com/friendica/docker.git
ubuntu,https://git.launchpad.net/cloud-images/+oci/ubuntu-base
alt,https://github.com/alt-cloud/docker-brew-alt.git
express-gateway,https://github.com/ExpressGateway/docker-express-gateway.git
hitch,https://github.com/varnish/docker-hitch.git
storm,https://github.com/31z4/storm-docker.git
caddy,https://github.com/caddyserver/caddy-docker.git
amazoncorretto,https://github.com/corretto/corretto-docker.git
mediawiki,https://github.com/wikimedia/mediawiki-docker.git
elasticsearch,https://github.com/docker-library/elasticsearch.git
joomla,https://github.com/joomla-docker/docker-joomla.git
znc,https://github.com/znc/znc-docker.git
ruby,https://github.com/docker-library/ruby.git
ibm-semeru-runtimes,https://github.com/ibmruntimes/semeru-containers.git
traefik,https://github.com/traefik/traefik-library-image.git
spark,https://github.com/apache/spark-docker.git
orientdb,https://github.com/orientechnologies/orientdb-docker.git
mageia,https://github.com/juanluisbaptiste/docker-brew-mageia.git
vault,https://github.com/hashicorp/docker-vault.git
matomo,https://github.com/matomo-org/docker.git
haproxy,https://github.com/docker-library/haproxy.git
couchbase,https://github.com/couchbase/docker
