unit,0
adminer,11.50943396226415
notary,11.619047619047619
fluentd,8.524271844660195
couchdb,10.155737704918034
oraclelinux,10.609375
clojure,8.96551724137931
nats-streaming,9.812917594654788
centos,9.812917594654788
maven,9.106690777576853
rockylinux,9.106690777576853
percona,9.546075085324231
websphere-liberty,9.958841463414634
kong,9.251700680272108
buildpack-deps,9.078048780487805
bonita,9.078048780487805
solr,9.078048780487805
gradle,7.188589540412044
influxdb,6.704907161803714
nats,7.324882075471698
crate,7.201724137931034
nginx,6.893743257820928
convertigo,6.893743257820928
jruby,6.939790575916231
almalinux,6.991155046826223
groovy,6.498166819431714
sonarqube,6.640563132424109
amazoncorretto,6.811009969657564
elasticsearch,6.778255264288783
joomla,7.768823306848279
