adminer,6,2,7
notary,2,2,6
oraclelinux,2,9,2
clojure,9,73,2
jetty,14,71,2
maven,11,30,5
rockylinux,3,4,4
websphere-liberty,3,18,4
buildpack-deps,1,2,1
influxdb,3,16,3
busybox,8,3,1
postgres,1,1,1
nginx,5,4,1
sonarqube,5,10,1
amazoncorretto,9,42,2
